chsa,chsa_population_census,pha,shelt_rent_n_households,shelt_rent_subsidized_rate,shelt_rent_30plus_rate,shelt_rent_mo_cost_mean,shelt_rent_mo_cost_median,income_total_mean,income_total_median,income_after_tax_mean,income_after_tax_median
Burnaby Heights/Capital Hill,24343,Fraser,6150,8.4,43,1245,1151,44744,33612,37324,30211
Haney,32848,Fraser,3675,16.1,44.9,992,911,41596,33591,35344,30622
Pitt Meadows,19390,Fraser,1610,12.7,34.7,1152,1103,48710,39993,40494,35102
Maple Ridge Rural,58178,Fraser,2415,9.3,36.2,1233,1101,50256,39853,41498,35500
North Coquitlam,45657,Fraser,2465,7.3,47,1423,1347,46080,30544,38055,27809
Southwest Coquitlam,74061,Fraser,8605,12.1,48.5,1199,1143,42515,30863,35709,28144
Southeast Coquitlam,29063,Fraser,3485,10.6,41.4,1114,983,43524,34582,36694,31453
Port Coquitlam,61498,Fraser,5020,17.6,40.3,1147,1033,45247,37882,38064,33577
Port Moody South,18270,Fraser,3335,9.9,35.2,1334,1373,57850,43548,46590,38122
City of Langley,28963,Fraser,4500,21.9,46.7,960,930,40522,33288,34576,29970
Walnut Grove/Fort Langley,29760,Fraser,1255,5.6,34,1307,1252,53268,41218,43800,36266
Willoughby,42745,Fraser,2030,4.7,42,1453,1276,48076,39800,40068,35281
Brookswood/Murrayville,23030,Fraser,1255,10.3,42.9,1316,1145,50324,39340,41878,35300
Aldergrove/Otter,13868,Fraser,1210,17.4,39.3,995,901,41290,34208,35216,31116
North Langley Township,14338,Fraser,715,3.5,34.5,1154,1010,52253,37896,42561,33665
South Langley Township,9440,Fraser,825,6.1,37,1205,1113,52722,35516,43134,31297
North Delta,60769,Fraser,3825,10.1,33.6,1167,1019,42335,32430,35533,29294
Ladner,25536,Fraser,2090,15.1,37.1,1173,1056,52665,40191,43170,35499
Tsawwassen,24416,Fraser,1630,6.1,43.9,1416,1133,64037,43476,50650,38079
Whalley,72064,Fraser,5260,9.4,33.4,960,803,31079,24333,27268,22768
North Surrey,43579,Fraser,9935,11.7,40.7,979,936,32528,26654,28398,24788
Cloverdale,78385,Fraser,4955,6.6,35.5,1191,1004,48176,39429,40282,35048
Panorama,51720,Fraser,2735,7.3,30.5,1084,849,42789,33713,36164,30268
East Newton,67516,Fraser,6610,13.3,35,907,770,33031,25668,28789,24004
Fleetwood,60708,Fraser,4020,7.6,35.5,1023,824,37481,29053,32277,26670
Guildford,65068,Fraser,6140,12.2,43.1,1052,961,37868,27753,32326,25596
West Newton,41508,Fraser,4480,15.6,32.1,881,750,30270,23322,26697,22146
South Surrey West,51971,Fraser,4870,13.3,43.4,1489,1350,56630,38494,45115,34079
White Rock,21939,Fraser,3215,10,49.5,1224,1010,53214,38605,44100,34303
Richmond City Centre,63165,Vancouver Coastal,7650,13.6,55.5,1306,1297,31337,21555,27133,20730
Blundell,18063,Vancouver Coastal,1295,37.1,47.9,1152,1004,37090,22875,31216,21565
Broadmoor,23051,Vancouver Coastal,1735,11,44.5,1423,1290,36615,24158,30986,22602
Thompson/Seafair,31848,Vancouver Coastal,2535,11.9,43.1,1424,1249,43173,26918,35434,24807
Steveston,24886,Vancouver Coastal,1810,26.6,41.8,1353,1278,50363,38395,41242,34182
East and West Cambie/Bridgeport,26943,Vancouver Coastal,2095,17.1,37.8,1317,1296,34019,24944,29455,23471
Gilmore/Shellmont/East/Hamilton,21981,Vancouver Coastal,1780,2.5,34.6,1376,1363,41030,30949,34592,28188
Downtown Vancouver,47335,Vancouver Coastal,13480,15.5,49.5,1693,1683,67392,44594,52150,38975
West End,47746,Vancouver Coastal,24685,8,49.4,1308,1254,47253,36425,39059,32452
Brentwood/Willingdon/Parkcrest,30004,Fraser,7105,14.4,48.8,1256,1237,42549,30443,35437,27530
Westridge/Sperling/Gov't Road,22512,Fraser,13645,13.4,45.9,1143,1040,36738,26387,31260,24566
Burnaby Mountain/Lougheed,24695,Fraser,8085,20.4,41.5,1086,992,39455,28247,33420,26153
Fernie,17199,Interior,1380,15.9,36.6,961,948,58043,41653,46815,36739
Cranbrook,27195,Interior,2495,14.2,41.2,900,840,46437,34844,38964,31618
Kimberley,9801,Interior,970,11.4,34,885,834,44452,34940,37585,31591
Windermere,11701,Interior,740,8.1,36.1,1050,1001,46212,34889,38041,31154
Creston,13133,Interior,1150,11.7,49.1,796,783,35186,25998,30670,24392
Golden,7311,Interior,700,12.2,31.4,908,847,43866,35413,37108,31467
Kootenay Lake,3572,Interior,300,13.3,48.3,741,734,39947,24976,33393,23850
Nelson,26781,Interior,3135,14,46.7,928,903,38377,29121,32971,26621
Castlegar,14462,Interior,1150,12.7,38.7,861,800,43866,34772,37113,31629
Arrow Lakes,4689,Interior,490,17.3,41.2,720,735,34652,25479,29731,24286
Trail,19830,Interior,1995,8.8,38.6,796,740,46834,36377,39067,32542
Grand Forks,8965,Interior,600,11.7,42.9,843,824,35671,26773,30930,24819
Kettle Valley,4357,Interior,230,8.9,48.9,734,727,30239,20925,26583,20426
Southern Okanagan,21668,Interior,1825,12.9,40.3,924,886,37112,28554,32011,26308
Penticton,45174,Interior,6075,13.9,49.1,1042,915,42490,31047,36177,28106
Keremeos,5613,Interior,475,11.6,51,747,772,31142,22562,27530,21566
Princeton,5141,Interior,505,17.8,42.6,852,895,40895,29104,34749,26935
Armstrong/Spallumcheen,10630,Interior,790,7.5,41.4,981,950,39094,30818,33712,28091
Vernon Centre/Coldstream,57924,Interior,6100,10.1,48.4,1008,923,43815,33100,37019,29981
North Okanagan/Lumby,15231,Interior,755,13.9,40.4,879,882,38924,28849,33314,26340
Central Okanagan Rural West,8681,Interior,450,13.3,46.7,1166,1099,44542,34670,37308,31127
West Kelowna,46978,Interior,2010,8,42.1,1331,1301,46885,34456,39083,31114
Lake Country,15817,Interior,1105,11.3,39.2,1082,1088,49526,36802,40683,32764
Glenmore,39595,Interior,3145,7.3,45.4,1312,1237,48846,38318,40710,34258
Downtown Kelowna,44912,Interior,8880,10.7,48.9,1118,1036,40166,30640,34375,27903
Rutland,37792,Interior,4150,11.8,44.4,1129,1062,39389,31370,33604,28298
Okanagan Mission,27034,Interior,1100,3.2,42.3,1391,1329,68340,41260,54499,36990
Summerland,12582,Interior,930,11.3,49.2,1076,1027,43828,33131,36784,29942
Enderby,7830,Interior,645,8.5,38,742,702,35435,26453,30702,24584
Revelstoke,8810,Interior,905,19.9,41.4,1020,973,43981,37142,37374,33026
Salmon Arm,37156,Interior,2765,11.6,42.6,909,849,41774,30652,35304,27909
Kamloops Centre North,47704,Interior,5085,11.4,47.1,983,934,42212,33173,35873,29890
Kamloops Centre South,54113,Interior,5230,11.3,46.4,1078,1003,50209,38681,41735,34357
